titer_id	condition	timepoint	replicate	plaque_count	strain	fold_dilution	log10_dilution	surface	temperature	relative_humidity_pct	medium	medium_state	concentration_pct	chlorine_concentration_ppm	well_volume_ml	intercept_condition	timeseries_id
0	Blood_liquid_2022	0.0	1	1	2022	1000	-3.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
1	Blood_liquid_2022	0.0	2	2	2022	1000	-3.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
2	Blood_liquid_2022	0.0	3	13	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
3	Blood_liquid_2022	1.0	1	7	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
4	Blood_liquid_2022	1.0	2	3	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
5	Blood_liquid_2022	1.0	3	10	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
6	Blood_liquid_2022	3.0	1	4	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
7	Blood_liquid_2022	3.0	2	6	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
8	Blood_liquid_2022	3.0	3	2	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
9	Blood_liquid_2022	5.0	1	20	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
10	Blood_liquid_2022	5.0	2	2	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
11	Blood_liquid_2022	5.0	3	2	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
12	Blood_liquid_2022	7.0	1	5	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
13	Blood_liquid_2022	7.0	2	2	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
14	Blood_liquid_2022	7.0	3	11	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
15	Blood_liquid_2022	10.0	1	4	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
16	Blood_liquid_2022	10.0	2	12	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
17	Blood_liquid_2022	10.0	3	2	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
18	Blood_liquid_2022	15.0	1	13	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
19	Blood_liquid_2022	15.0	2	7	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
20	Blood_liquid_2022	15.0	3	24	2022	10	-1.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
21	Blood_liquid_2022	20.0	1	23	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_1
22	Blood_liquid_2022	20.0	2	25	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_2
23	Blood_liquid_2022	20.0	3	22	2022	100	-2.0				Blood	liquid		0.0	0.25	Blood_liquid_2022	Blood_liquid_2022_3
24	Blood_surface_2022	0.0	1	15	2022	100	-2.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_1_0.0
25	Blood_surface_2022	0.0	2	1	2022	1000	-3.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_2_0.0
26	Blood_surface_2022	0.0	3	2	2022	1000	-3.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_3_0.0
27	Blood_surface_2022	1.0	1	25	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_1_1.0
28	Blood_surface_2022	1.0	2	1	2022	100	-2.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_2_1.0
29	Blood_surface_2022	1.0	3	15	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_3_1.0
30	Blood_surface_2022	3.0	1	4	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_1_3.0
31	Blood_surface_2022	3.0	2	4	2022	100	-2.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_2_3.0
32	Blood_surface_2022	3.0	3	3	2022	1	0.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_3_3.0
33	Blood_surface_2022	5.0	1	1	2022	1	0.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_1_5.0
34	Blood_surface_2022	5.0	2	1	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_2_5.0
35	Blood_surface_2022	5.0	3	4	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_3_5.0
36	Blood_surface_2022	7.0	1	12	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_1_7.0
37	Blood_surface_2022	7.0	2	5	2022	1	0.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_2_7.0
38	Blood_surface_2022	7.0	3	9	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_3_7.0
39	Blood_surface_2022	10.0	1	4	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_1_10.0
40	Blood_surface_2022	10.0	2	8	2022	10	-1.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_2_10.0
41	Blood_surface_2022	10.0	3	8	2022	100	-2.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_3_10.0
42	Blood_surface_2022	15.0	1	4	2022	100	-2.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_1_15.0
43	Blood_surface_2022	15.0	2	6	2022	100	-2.0	polypropylene_plastic			Blood	surface		0.0	0.25	Blood_surface_2022	Blood_surface_2022_2_15.0
