condition	surface	medium	temperature	relative_humidity_pct	strain	halflife_wet_median	halflife_wet_q025	halflife_wet_q975	halflife_wet_formatted	halflife_wet_median_minutes	halflife_wet_q025_minutes	halflife_wet_q975_minutes	halflife_wet_formatted_minutes	halflife_dry_median	halflife_dry_q025	halflife_dry_q975	halflife_dry_formatted	halflife_dry_median_minutes	halflife_dry_q025_minutes	halflife_dry_q975_minutes	halflife_dry_formatted_minutes
Blood_surface_2022	polypropylene_plastic	Blood			2022	82.97540074070142	10.865998123319823	2620.011561553281	82.98 [10.87, 2620.01]	119484.57706661004	15647.037297580544	3772816.6486367243	119484.58 [15647.04, 3772816.65]	37.87264759714391	6.3270467723618715	1280.9990591319913	37.87 [6.33, 1281.00]	54536.612539887225	9110.947352201096	1844638.6451500675	54536.61 [9110.95, 1844638.65]
CC_21-23°C/40%_2022	cotton	DMEM	21.0	40.0	2022	0.16180595256063185	0.10045876189562754	0.24468467485070536	0.16 [0.10, 0.24]	233.00057168730984	144.66061712970367	352.34593178501575	233.00 [144.66, 352.35]	0.060959417711890035	0.005572923880045001	0.17890014852480607	0.06 [0.01, 0.18]	87.78156150512164	8.0250103872648	257.61621387572075	87.78 [8.03, 257.62]
CC_21°C/45%_2003	cotton	DMEM	21.0	45.0	2003	0.4674164226478309	0.2528544858124955	1.1911970616905483	0.47 [0.25, 1.19]	673.0796486128764	364.1104595699935	1715.3237688343895	673.08 [364.11, 1715.32]	0.13028050879455558	0.014754628565562821	0.4457200996972157	0.13 [0.01, 0.45]	187.60393266416003	21.24666513441046	641.8369435639906	187.60 [21.25, 641.84]
CC_28°C/65%_2003	cotton	DMEM	28.0	65.0	2003	0.1222006159622736	0.06819696705455729	0.277345414812879	0.12 [0.07, 0.28]	175.968886985674	98.20363255856249	399.37739733054576	175.97 [98.20, 399.38]	0.043767012126625995	0.0037609049597813436	0.17824895511725197	0.04 [0.00, 0.18]	63.024497462341444	5.4157031420851345	256.67849536884285	63.02 [5.42, 256.68]
CC_28°C/65%_2022	cotton	DMEM	28.0	65.0	2022	0.17028368907439234	0.1011368240972754	0.2837804210034833	0.17 [0.10, 0.28]	245.208512267125	145.63702670007655	408.64380624501587	245.21 [145.64, 408.64]	0.0654341045315362	0.005059047241922348	0.19587204446236944	0.07 [0.01, 0.20]	94.22511052541212	7.285028028368182	282.05574402581203	94.23 [7.29, 282.06]
CC_4°C/40%_2022	cotton	DMEM	4.0	40.0	2022	0.8094200043724822	0.5234798543719976	1.6731045658123442	0.81 [0.52, 1.67]	1165.5648062963742	753.8109902956766	2409.270574769776	1165.56 [753.81, 2409.27]	0.19908439552484763	0.022784455103461623	0.6412211846035932	0.20 [0.02, 0.64]	286.68152955578057	32.809615348984735	923.3585058291743	286.68 [32.81, 923.36]
CC_4°C/45%_2003	cotton	DMEM	4.0	45.0	2003	0.7263479208413626	0.434248963423504	1.3683854817052794	0.73 [0.43, 1.37]	1045.941006011562	625.3185073298457	1970.4750936556024	1045.94 [625.32, 1970.48]	0.20165583688632843	0.018303516057596034	0.6992177749511744	0.20 [0.02, 0.70]	290.3844051163129	26.357063122938293	1006.8735959296912	290.38 [26.36, 1006.87]
Feces_surface_2022	polypropylene_plastic	Feces			2022	0.7608996085593176	0.35033124200008103	2.532971029803881	0.76 [0.35, 2.53]	1095.6954363254172	504.4769884801167	3647.478282917589	1095.70 [504.48, 3647.48]	0.06029076072234667	0.011007067863210613	0.14758471830365025	0.06 [0.01, 0.15]	86.8186954401792	15.850177723023284	212.52199435725635	86.82 [15.85, 212.52]
PP_21-23°C/40%_2022	polypropylene_plastic	DMEM	21.0	40.0	2022	3.18072749753805	1.185183518834167	11.565846169647408	3.18 [1.19, 11.57]	4580.247596454792	1706.6642671212005	16654.818484292267	4580.25 [1706.66, 16654.82]	0.15217802992879997	0.11367719254953344	0.23551095136204733	0.15 [0.11, 0.24]	219.13636309747199	163.69515727132816	339.13576996134816	219.14 [163.70, 339.14]
PP_21°C/45%_2003	polypropylene_plastic	DMEM	21.0	45.0	2003	0.5726366395916646	0.27445053154940074	2.4683158631796003	0.57 [0.27, 2.47]	824.5967610119969	395.20876543113707	3554.374842978624	824.60 [395.21, 3554.37]	0.1013317719023312	0.010858768966403549	0.3753536871311906	0.10 [0.01, 0.38]	145.9177515393569	15.636627311621112	540.5093094689145	145.92 [15.64, 540.51]
